Time,Net Power (Watts),Flight Mode,Wind Speed (m/s),Wind Direction (NESW),Velocity m/s
1701808814.870838,120.287270113047,Flight,5.0,W,0.0012141468058137009
1701808816.2718692,120.287270685102,Flight,5.0,W,0.0012137963595469977
1701808817.6558692,120.287270079397,Flight,5.0,W,0.0012143709263882296
1701808819.0498703,120.287269918647,Flight,5.0,W,0.0012142984578409962
1701808820.4478924,120.287269917647,Flight,5.0,W,0.0012145120999785405
1701808821.880891,120.287270077463,Flight,5.0,W,0.0012144167600534627
1701808823.2998912,120.287270027986,Flight,5.0,W,0.0012143142917651116
1701808824.6878915,120.287270251521,Flight,5.0,W,0.0012142460088826205
1701808826.0808926,120.287270163113,Flight,5.0,W,0.0012141698360311345
1701808827.4649293,120.287270140080,Flight,5.0,W,0.0012144181352458615
1701808828.86993,120.287270379130,Flight,5.0,W,0.0012142476343478404
1701808830.2959697,120.287225423515,Flight,5.0,W,0.001214170216659099
1701808831.7479675,120.287163739937,Flight,5.0,W,0.0012143900076516145
1701808833.1574767,120.287163440601,Flight,5.0,W,0.001214299410604988
1701808834.6034768,120.287163532736,Flight,5.0,W,0.001214397699953827
1701808835.9954767,120.287163549245,Flight,5.0,W,0.0012142559246689922
1701808837.398533,120.287163906893,Flight,5.0,W,0.0012142126562071853
1701808838.8025322,120.287164023970,Flight,5.0,W,0.0012141470019795323
1701808840.2355323,120.287164018817,Flight,5.0,W,0.001214091358151833
1701808841.6435318,120.287164325359,Flight,5.0,W,0.0012140573926635759
1701808843.0315533,120.287163852040,Flight,5.0,W,0.0012144805057029964
1701808844.4305768,120.287163936777,Flight,5.0,W,0.001214530737872032
1701808845.853624,120.287164037502,Flight,5.0,W,0.00121428836146578
1701808847.2747128,120.287164047441,Flight,5.0,W,0.0012142103261228248
1701808848.6852994,120.287162369414,Flight,5.0,W,0.0012145267818635965
1701808850.1163678,120.287163844086,Flight,5.0,W,0.001214417112949216
1701808851.5379548,120.287163831448,Flight,5.0,W,0.00121430324785007
1701808852.929146,120.287164138155,Flight,5.0,W,0.0012142934818423668
1701808854.3532586,120.287164270584,Flight,5.0,W,0.0012144424592824652
1701808855.8214219,120.287164247695,Flight,5.0,W,0.001214320112581628
1701808857.3294203,120.287164241731,Flight,5.0,W,0.001214275684939352
1701808858.7725425,120.287164595890,Flight,5.0,W,0.001214211952483547
1701808860.2036436,120.287164707287,Flight,5.0,W,0.0012141404294422722
1701808861.6188033,120.287164858229,Flight,5.0,W,0.0012140486700872191
1701808863.0258188,120.287165309079,Flight,5.0,W,0.0012139538925570416
1701808864.4184546,120.287165030815,Flight,5.0,W,0.0012142730105491237
1701808865.8060088,120.287164749671,Flight,5.0,W,0.001214562949399895
1701808867.1871428,120.287164263410,Flight,5.0,W,0.001214323839751801
1701808868.5879178,120.287164480662,Flight,5.0,W,0.0012142406799304619
1701808869.984432,120.287164501800,Flight,5.0,W,0.001214147766487623
1701808871.3764534,120.287164272918,Flight,5.0,W,0.0012140540176971849
1701808872.7714531,120.287164590986,Flight,5.0,W,0.0012139673062335698
1701808874.1624532,120.287164174061,Flight,5.0,W,0.0012144726989260144
1701808875.5384533,120.287164034920,Flight,5.0,W,0.0012143447813307625
1701808876.9314544,120.287164291871,Flight,5.0,W,0.0012142303281021897
1701808878.3314538,120.287165916326,Flight,5.0,W,0.0012144370957562494
1701808879.725453,120.287163141612,Flight,5.0,W,0.0012144149805825993
1701808881.1144936,120.287163645841,Flight,5.0,W,0.001214389385301537
1701808882.4994943,120.287163385045,Flight,5.0,W,0.0012142747216741354
1701808883.9054947,120.287163732972,Flight,5.0,W,0.001214198537714584
1701808885.298496,120.287163489739,Flight,5.0,W,0.0012145924442626191
1701808886.6934934,120.287163299898,Flight,5.0,W,0.0012144405604751958
1701808888.0994942,120.287163352331,Flight,5.0,W,0.0012142965816173228
1701808889.5124946,120.287163678074,Flight,5.0,W,0.0012144368353858904
1701808890.8976698,120.287163875082,Flight,5.0,W,0.0012142571585624464
1701808892.3025072,120.287163604772,Flight,5.0,W,0.0012141467832560867
1701808893.6919315,120.287163630495,Flight,5.0,W,0.0012141349370425505
1701808895.1004243,120.287163339244,Flight,5.0,W,0.0012145065034141294
1701808896.4843922,120.287163721441,Flight,5.0,W,0.001214375905461528
1701808897.8929582,120.287163813559,Flight,5.0,W,0.0012142921983713082
1701808899.3154922,120.287163853366,Flight,5.0,W,0.0012142446753100615
1701808900.7144883,120.287163413860,Flight,5.0,W,0.0012145841045835626
1701808902.1455443,120.287164673954,Flight,5.0,W,0.001214411308823597
1701808903.6155672,120.287163960844,Flight,5.0,W,0.0012143649954015833
1701808905.0836177,120.287163992230,Flight,5.0,W,0.0012142777061507149
1701808906.4835944,120.287164130225,Flight,5.0,W,0.0012142702178677535
1701808907.9048126,120.287164460383,Flight,5.0,W,0.0012142038068003876
1701808909.309044,120.287164568450,Flight,5.0,W,0.0012140964584008243
1701808910.7281914,120.287164580830,Flight,5.0,W,0.0012141062515542112
1701808912.2515748,120.287164110485,Flight,5.0,W,0.0012143396706815637
1701808913.6781754,120.287164504321,Flight,5.0,W,0.001214301611572687
1701808915.0711756,120.287164504699,Flight,5.0,W,0.0012142142762562446
1701808916.5046842,120.287164448156,Flight,5.0,W,0.001214259311019664
1701808917.8987086,120.287164259891,Flight,5.0,W,0.0012143950009850428
1701808919.394225,120.287163502382,Flight,5.0,W,0.0012145259548348476
1701808920.8197966,120.287164746784,Flight,5.0,W,0.0012143953489198852
1701808922.2153647,120.287164630172,Flight,5.0,W,0.0012143404708183365
1701808923.6364248,120.287164682596,Flight,5.0,W,0.0012145259762776845
1701808925.0674245,120.287116533093,Flight,5.0,W,0.0012142857340967548
1701808926.5134258,120.287163988868,Flight,5.0,W,0.0012144844978021643
1701808927.9194245,120.287163179319,Flight,5.0,W,0.0012143801730296554
1701808929.314424,120.287163542550,Flight,5.0,W,0.0012142889895147935
1701808930.7084234,120.287163866661,Flight,5.0,W,0.0012142465372102554
1701808932.136456,120.287164172351,Flight,5.0,W,0.0012142012948462664
1701808933.5719671,120.287164175791,Flight,5.0,W,0.0012141611704690402
1701808934.9880686,120.287163945052,Flight,5.0,W,0.0012141158130985251
1701808936.3810704,120.287164046601,Flight,5.0,W,0.0012140769688029837
1701808937.7740688,120.287163955035,Flight,5.0,W,0.0012140304489154942
1701808939.1783552,120.287164081968,Flight,5.0,W,0.0012140454935270757
1701808940.584353,120.287162287951,Flight,5.0,W,0.0012144697470654621
1701808942.037406,120.287163641176,Flight,5.0,W,0.0012143103314389788
1701808943.4944048,120.287163836201,Flight,5.0,W,0.0012141466543233953
1701808944.9499779,120.287163651950,Flight,5.0,W,0.0012142594228480043
1701808946.371044,120.287161738642,Flight,5.0,W,0.0012144334042444203
1701808947.7891123,120.287163748115,Flight,5.0,W,0.0012142731392467097
1701808949.2131677,120.287163529491,Flight,5.0,W,0.0012144076515691678
1701808950.7242103,120.287163427470,Flight,5.0,W,0.0012143593178694317
1701808952.1673005,120.287163713325,Flight,5.0,W,0.0012142698775426094
1701808953.5873518,120.287162826180,Flight,5.0,W,0.0012142647396669792
1701808954.9813812,120.287164219799,Flight,5.0,W,0.001214623141593206
1701808956.4590166,120.287164465206,Flight,5.0,W,0.0012142954105336323
1701808957.9155262,120.287164388919,Flight,5.0,W,0.0012142322790761133
